Graph loaded
<torch.utils.data.dataloader.DataLoader object at 0x7f4ae98242e0>
Data Loaded
Starting training
Epoch 9: loss=4.4912
Epoch 9: loss=5.0340
Epoch 9: loss=4.5020
Epoch 9: loss=5.2980
Epoch 9: loss=5.3666
Epoch 9: loss=4.6955
Epoch 9: loss=4.5034
Epoch 9: loss=4.4513
Epoch 9: loss=6.1625
Epoch 9: loss=4.7041
Epoch 9: loss=4.7286
Epoch 9: loss=4.5397
Epoch 9: loss=5.9011
Epoch 9: loss=4.7354
Epoch 9: loss=4.8217
Epoch 9: loss=4.5778
Epoch 10: loss=4.4882
Epoch 10: loss=5.2489
Epoch 10: loss=4.6320
Epoch 10: loss=5.5553
Epoch 10: loss=5.5379
Epoch 10: loss=4.5880
Epoch 10: loss=4.5935
Epoch 10: loss=5.6281
Epoch 10: loss=6.1479
Epoch 10: loss=4.8131
Epoch 10: loss=5.2893
Epoch 10: loss=4.8704
Epoch 10: loss=4.6827
Epoch 10: loss=4.9041
Epoch 10: loss=4.9313
Epoch 10: loss=4.6983
Epoch 10: loss=4.6186
Epoch 10: loss=4.5912
Epoch 10: loss=5.8944
Epoch 10: loss=4.5148
Epoch 10: loss=5.4760
Epoch 10: loss=4.5849
Epoch 10: loss=5.2648
Epoch 10: loss=4.6287
Epoch 10: loss=4.6082
Epoch 10: loss=5.3600
Epoch 10: loss=5.8457
Epoch 10: loss=5.1776
Epoch 10: loss=5.0368
Epoch 10: loss=4.7988
Epoch 10: loss=5.5725
Epoch 10: loss=4.7567
Epoch 10: loss=5.9056
Epoch 10: loss=4.7348
Epoch 10: loss=5.5091
Epoch 10: loss=4.6724
Epoch 10: loss=6.2305
Epoch 10: loss=4.6048
Epoch 10: loss=4.5734
Epoch 10: loss=4.5410
Epoch 10: loss=5.5096
Epoch 10: loss=6.1096
Epoch 10: loss=5.3811
Epoch 10: loss=5.5015
Epoch 10: loss=5.0622
Epoch 10: loss=5.4923
Epoch 10: loss=5.0206
Epoch 10: loss=5.3453
Epoch 10: loss=4.8146
Epoch 10: loss=5.2008
Epoch 10: loss=5.0758
Epoch 10: loss=5.2889
Epoch 10: loss=5.4931
Epoch 10: loss=5.1313
Epoch 10: loss=5.5520
Epoch 10: loss=5.3475
Epoch 10: loss=5.2716
Epoch 10: loss=4.7976
Epoch 10: loss=4.7010
Epoch 10: loss=4.5942
Epoch 10: loss=4.6003
Training Complete
