Graph loaded
<torch.utils.data.dataloader.DataLoader object at 0x7f2a0cde4670>
Data Loaded
Starting training
Epoch 9: loss=4.8713
Epoch 9: loss=4.9338
Epoch 9: loss=4.4489
Epoch 9: loss=5.2251
Epoch 9: loss=4.4815
Epoch 9: loss=4.4621
Epoch 9: loss=4.4356
Epoch 9: loss=4.4243
Epoch 9: loss=4.4219
Epoch 9: loss=4.4105
Epoch 9: loss=4.3872
Epoch 9: loss=4.9669
Epoch 9: loss=4.3968
Epoch 9: loss=4.4146
Epoch 9: loss=4.3960
Epoch 9: loss=4.3711
Epoch 9: loss=4.3693
Epoch 9: loss=4.3671
Epoch 9: loss=5.5339
Epoch 9: loss=5.3729
Epoch 9: loss=4.5348
Epoch 9: loss=4.6005
Epoch 9: loss=5.5026
Epoch 9: loss=5.3888
Epoch 9: loss=4.7573
Epoch 9: loss=4.8124
Epoch 9: loss=5.2066
Epoch 9: loss=5.1269
Epoch 9: loss=5.0717
Epoch 9: loss=4.9441
Epoch 9: loss=4.4937
Epoch 9: loss=4.4554
Epoch 9: loss=4.8647
Epoch 9: loss=4.4355
Epoch 9: loss=5.4835
Epoch 9: loss=4.4080
Epoch 9: loss=4.3999
Epoch 9: loss=4.3988
Epoch 9: loss=4.3970
Epoch 9: loss=4.3935
Epoch 9: loss=4.3933
Epoch 9: loss=4.3902
Epoch 9: loss=4.8020
Epoch 9: loss=4.6766
Epoch 9: loss=4.3694
Epoch 9: loss=5.0888
Epoch 9: loss=4.6511
Epoch 9: loss=5.3618
Epoch 9: loss=4.4169
Epoch 9: loss=4.4247
Epoch 9: loss=4.4123
Epoch 9: loss=4.7546
Epoch 9: loss=4.7607
Epoch 9: loss=4.3933
Epoch 9: loss=4.6620
Epoch 10: loss=4.3575
Epoch 10: loss=4.3558
Epoch 10: loss=4.3545
Epoch 10: loss=4.9669
Epoch 10: loss=4.6296
Epoch 10: loss=4.8957
Epoch 10: loss=4.6150
Epoch 10: loss=4.8417
Epoch 10: loss=4.4188
Epoch 10: loss=4.3772
Epoch 10: loss=5.3119
Epoch 10: loss=4.3817
Epoch 10: loss=4.4137
Epoch 10: loss=4.6393
Epoch 10: loss=4.5664
Epoch 10: loss=4.3579
Epoch 10: loss=5.1418
Epoch 10: loss=4.5302
Epoch 10: loss=4.3760
Epoch 10: loss=4.9877
Epoch 10: loss=4.8687
Epoch 10: loss=4.8578
Epoch 10: loss=5.0914
